@relation pca_music

@attribute Band_Energy_Mean continuous
@attribute Chroma_stft_mean continuous
@attribute Mean_ZCR continuous
@attribute MFCC_delta_std continuous
@attribute Total_beats continuous
@attribute Mean_Spectral_Flux continuous
@attribute Band_Ratio_StdDev continuous
@attribute b4 continuous
@attribute MFCC_delta_mean continuous
@attribute Average_beats continuous
@attribute MFCC_delta_variance continuous
@attribute b5 continuous
@attribute Spectral_Roll_Off continuous
@attribute ZCR_StdDev continuous
@attribute genre {pop,electronic,rap,folk,rock,classical}

@data
0.816983,0.222515,2.682861,1.328221,-0.042369,2.123718,0.538859,-0.75676,0.589562,0.38614,-0.507757,0.322318,0.389199,0.639304,pop
1.549601,2.096611,2.887971,-0.604831,-0.27227,1.214662,0.742108,1.135592,0.307959,0.219297,-1.326701,0.573177,0.351909,0.255459,pop
-0.322458,-0.960567,3.984347,1.448338,-0.52625,1.546131,-0.24888,-1.091995,0.78037,0.727681,0.295596,-0.260532,0.447631,0.375529,pop
0.102123,-0.834284,3.362962,1.504346,-0.426502,1.737644,0.22771,-1.024999,0.573706,0.823791,0.03084,0.03584,0.244833,0.41765,pop
0.65649,1.369987,4.018627,-1.005862,-0.073646,0.739655,0.154452,0.30571,0.594911,-0.001245,-1.278348,-0.069116,0.782132,-0.70321,pop
0.163189,-0.913317,0.853978,-0.373642,-1.015507,0.482281,1.307984,-1.270576,0.097718,0.28565,0.007625,-0.300555,-0.280477,0.104259,pop
4.018089,-1.342857,-0.400438,-2.2036,-0.363432,-1.36985,0.507942,-0.796249,-1.464105,0.216554,0.470294,-0.298011,-0.824359,-0.64953,pop
4.224431,-1.254494,0.652278,-0.311306,-0.40034,-0.421537,-0.439575,-0.458889,-0.978015,0.808517,-0.178133,-0.559393,0.524297,-1.073592,pop
2.30648,0.720295,-0.208299,-2.232695,-1.114472,-0.783843,0.260416,-0.306252,3.455348,-0.60105,0.703273,0.422084,-0.315674,0.139487,pop
0.913135,-0.202943,1.079129,-1.881235,-0.48434,0.16861,1.558131,-1.872024,0.060333,-0.095694,0.194244,-0.771687,-0.606152,-0.41865,pop
